text,is_Error
Anathi Khanyile,1
Tony bahut funny hai Hill climbing racing my favourite game,1
Teturwu,1
Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,1
This game is nice,0
Rahulyadavo,1
"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",1
Very taty,1
good,0
I LIKE THIS GAME,0
Racing,0
😆😆😆,0
Awesome game. easy to use options.,1
Very noob game,0
Hill climb racing 2 vip game,1
Good games,0
I is so oosem game,1
Good game,0
All right for the price you pay.,0
"I like the app, it works really well. It is a much better experience then the website.",0
Chicago,0
Please add dark amoled theme,1
Very easy to use and my delivery was quick and very well protected. Thank you! A+,1
Awesome,0
Excelent Best of all,1
I've been ordering here for years. Updated to say its still pretty good in 2021,1
Why is Alixpress customer service not Available. Like I don't understand please Please reply me,1
Very useful app 👌,0
Excellent products and speed of shipments.,0
"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads! 😂",0
👍,0
Love the possibilities of the app. Working wel.,1
Great,0
I Love AliExpress and All Sellers in AliExpress No Scam Zone ★★★★★,0
I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,1
The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,0
Great,0
Good but late,0
This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,1
"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",0
Fun fun fun,0
Very good app,0
Is incredible...,0
Very good,0
Great honest app..,1
"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.",1
I can't live without Ali Express ido alot of shopping 🛒,1
👍,0
Would have given 5 stars if Cash on delivery option was available..,1
Nice app,0
Produtos variados e com ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,1
"So far so good,got items on time",1
Amazing app. Best place to purchase your product internationally,0
Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,1
"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",1
Fast delivery,0
"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)",1
رائع للتسوق,0
YOU NOOB NO LEGO POLICE BOAY 60045 👎😭😢😡,1
Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,1
This App Really Makes Shopping Easy and Fun,0
Excellent,0
Am very happy to use this app everything is straight forward and deliveries are quick,0
got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,1
Very nice app,0
Very easy app to use. Lots to choose from.,0
"Theres one item that i didnt get, but i still like this better than others apps.",1
With time I will give it 5 stars Started using it not quite long,1
